CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
E0201Q,E0201Q060,153,108,0.71,26.24
F7601M,F7601M011,68,48,0.71,26.33
E0201Q,E0201Q064,34,24,0.71,26.42
E2702Q,E2702Q003,79,56,0.71,26.57
F8501R,F8501R008,175,125,0.71,26.57
E0201Q,E0201Q051,104,74,0.71,26.8
F7702M,F7702M048,96,68,0.71,27.03
E2001R,E2001R058,31,22,0.71,27.14
H4101D,H4101D254,185,132,0.71,27.39
F9201P,F9201P202,35,25,0.71,27.48
F8204B,F8204B008,34,24,0.71,27.67
F8204B,F8204B011,66,47,0.71,27.83
E2004P,E2004P028,34,24,0.71,27.88
F4901N,F4901N004,49,35,0.71,27.89
E3901N,E3901N030,112,80,0.71,27.94
F0101R,F0101R001,52,37,0.71,28.19
F5401Q,F5401Q017,38,27,0.71,28.3
H4601D,H4601D015,34,24,0.71,28.33
F8501R,F8501R024,31,22,0.71,28.36
E3301M,E3301M180,253,181,0.72,24.63
F9201P,F9201P008,60,43,0.72,25.74
E3101Q,E3101Q130,146,105,0.72,25.79
E2001R,E2001R008,251,181,0.72,26.55
E3301M,E3301M150,46,33,0.72,26.58
E3001Q,E3001Q048,95,68,0.72,26.68
E1803M,E1801M042,36,26,0.72,26.69
E2001R,E2001R007,251,181,0.72,26.71
E0201Q,E0201Q005,185,133,0.72,26.77
E0201Q,E0201Q008,107,77,0.72,26.96
F7501Q,F7501Q076,36,26,0.72,27.42
581,A5810106,69,50,0.72,27.82
E1301Q,E1301Q063,148,107,0.72,27.92
581,A5810058,47,34,0.72,28.56
E2004P,E2004P025,118,85,0.72,29.19
E3301M,E3301M021,177,129,0.73,
E1601N,E1601N056,67,49,0.73,23.06
E3901N,E3901N031,60,44,0.73,24.93
G8501R,G8501R002,430,314,0.73,25.48
E2004P,E2004P006,127,93,0.73,25.91
I0102D,I0102D005,37,27,0.73,26.15
E3401Q,E3401Q047,60,44,0.73,26.5
F7701M,F7701M052,138,101,0.73,26.5
F0901D,F0901D040,44,32,0.73,26.56
E3401Q,E3401Q043,85,62,0.73,26.61
E2702Q,E2702Q099,63,46,0.73,26.76
F7702M,F7702M047,55,40,0.73,27.33
F9201P,F9201P025,60,44,0.73,27.48
G8501R,G8501R040,281,206,0.73,27.58
E2401P,E2401P028,59,43,0.73,27.98
581,A5810055,81,59,0.73,28.25
E3501Q,E3501Q053,37,27,0.73,28.33
581,A5810036,159,116,0.73,28.44
I0102D,I0102D012,33,24,0.73,28.5
E3201Q,E3201Q008,80,59,0.74,
E3101Q,E3101Q102,340,250,0.74,23.58
E1501N,E1501N005,244,180,0.74,24.11
E1401A,E1401A010,99,73,0.74,25.11
E3301M,E3301M143,35,26,0.74,25.15
I0101D,I0101D014,283,209,0.74,25.15
E1802M,E1802M131,127,94,0.74,25.28
F8701N,F8701N008,46,34,0.74,25.74
I0102D,I0102D016,43,32,0.74,25.97
E4102B,E4102B069,58,43,0.74,25.98
E1801M,E1801M031,392,290,0.74,26.07
E2004P,E2004P002,136,101,0.74,26.09
E2001R,E2001R006,143,106,0.74,26.64
E2001R,E2001R027,65,48,0.74,26.96
E1301Q,E1301Q062,141,104,0.74,27.14
F7601M,F7601M060,61,45,0.74,27.22
E0201Q,E0201Q054,89,66,0.74,27.35
E1901R,E1901R080,260,192,0.74,27.46
E2702Q,E2702Q097,68,50,0.74,27.46
F7601M,F7601M057,46,34,0.74,27.47
G8501R,G8501R039,359,267,0.74,27.51
F5602M,F5602M012,35,26,0.74,27.65
E1301Q,E1301Q015,74,55,0.74,27.75
F9201P,F9201P203,43,32,0.74,27.75
F0601Q,F0601Q052,35,26,0.74,27.81
H4101D,H4101D020,154,114,0.74,28.18
E1901R,E1901R109,292,215,0.74,28.48
581,A5810080,38,28,0.74,29.07
F7701M,F7701M105,140,104,0.74,29.43
E1501N,E1501N071,199,149,0.75,23.94
E2001R,E2001R052,55,41,0.75,24.12
E1802M,E1802M005,354,267,0.75,24.41
E1803M,E1803M100,214,160,0.75,25.13
E0201Q,E0201Q067,59,44,0.75,25.52
F7702M,F7702M042,92,69,0.75,25.59
E2004P,E2004P010,114,86,0.75,26.13
E1801M,E1801M005,302,226,0.75,26.31
