ad,media
[E3002Q028] SISTEMI OTTICI E OFTALMICI CON LABORATORIO,11
[E1901R109] CLINICA DELLA FORMAZIONE,11
[E3201Q001] MATEMATICA I,10.88888888888889
[E1401A085] ELEMENTI DI PROCEDURA PENALE,10.857142857142858
[I0301D003] ORGANI E FUNZIONI,10.8
[E2401P026] PSICOLOGIA GIURIDICA,10.8
[E3301M195] FONDAMENTI DI RAGIONERIA GENERALE E APPLICATA,10.777777777777779
[E2702Q082] CHIMICA GENERALE E LABORATORIO,10.75
[A5810012] DIRITTO TRIBUTARIO,10.727272727272727
[F7702M043] STORIA DELL'IMPRESA,10.666666666666666
[F1601M063] ECONOMIA E FINANZA DEI MERCATI GLOBALI,10.666666666666666
[E3301M182] LINGUA-SPAGNOLO,10.666666666666666
[I0201D100] BASI DEL MOVIMENTO,10.6
[E3501Q051] ALGEBRA LINEARE E GEOMETRIA,10.6
[E1401A077] SCIENZA DELLE FINANZE,10.555555555555555
[I0202D101] CINESIOLOGIA,10.5
[E1901R021] STORIA CONTEMPORANEA,10.5
[E1801M035] MARKET-DRIVEN MANAGEMENT,10.5
[A5810006] FILOSOFIA DEL DIRITTO,10.461538461538462
[E1301Q011] ZOOLOGIA,10.454545454545455
[E3201Q067] CHIMICA GENERALE ED INORGANICA,10.428571428571429
[E2702Q009] CHIMICA FISICA I,10.428571428571429
[G8501R014] GEOGRAFIA E DIDATTICA DELLA GEOGRAFIA CON LABORATORIO,10.375
[F7501Q004] VALUTAZIONE IMPATTO AMBIENTALE,10.333333333333334
[E1901R007] PEDAGOGIA INTERCULTURALE,10.285714285714286
[E3002Q011] OTTICA DELLA CONTATTOLOGIA GENERALE,10.25
[E1901R017] FILOSOFIA MORALE,10.25
[E1501N076] GENERE E TURISMO,10.25
[F1601M056] INFORMATICA PER LA FINANZA,10.166666666666666
[E1801M046] STATISTICA PER IL MARKETING,10.166666666666666
[E1803M038] ISTITUZIONI DI DIRITTO PRIVATO,10.083333333333334
[H4101D019] STATISTICA MEDICA,10
[F8501R056] METODOLOGIA DELLA RICERCA PEDAGOGICA II CON LABORATORIO,10
[E4001N055] LA COMUNICAZIONE: PRODUZIONE E CONSUMO,10
[E3001Q057] STRUTTURA DELLA MATERIA,10
[E3001Q046] MECCANICA QUANTISTICA,10
[E2401P118] PSICOLOGIA SOCIALE DEI GRUPPI,10
[E2401P109] PERCEZIONE E ATTENZIONE,10
[E2004P026] PSICOLOGIA SOCIALE DELLA COMUNICAZIONE,10
[E1803M004] ISTITUZIONI DI DIRITTO PUBBLICO,10
[H4101D038] PATOLOGIA GENERALE E IMMUNOLOGIA,9.857142857142858
[E1901R080] PEDAGOGIA DEL GIOCO,9.857142857142858
[E1803M058] LINGUA - FRANCESE,9.833333333333334
[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA,9.8
[E1501N014] ECONOMIA DEL TURISMO,9.8
[E1301Q062] ECOLOGIA,9.8
[E3101Q109] ANALISI E PROGETTAZIONE DEL SOFTWARE,9.75
[F7601M052] PROGRAMMAZIONE ECONOMICO-TERRITORIALE E POLITICHE DEL TURISMO,9.666666666666666
[F5104P006] COMPITI EVOLUTIVI E CLINICA DELL'ADOLESCENTE E DEL GIOVANE ADULTO,9.666666666666666
[I0201D121] VALUTAZIONE DEL SISTEMA MOTORIO,9.6
[F0601Q077] BIOSTATISTICA,9.6
[E1401A084] TEORIA GENERALE E METODI DEL DIRITTO,9.571428571428571
[E3301M159] STATISTICA PER L'AZIENDA,9.5
[E1501N081] WEB MARKETING,9.5
[E3401Q051] GEOFISICA,9.444444444444445
[F7702M048] ANALISI QUANTITATIVE D'IMPRESA PER I MERCATI GLOBALI,9.333333333333334
[E4101B014] STATISTICA ECONOMICA II,9.333333333333334
[E1301Q072] GENETICA,9.333333333333334
[F5701R002] METODOLOGIA DELLA FORMAZIONE,9.285714285714286
[G8501R028] MUSICA E DIDATTICA DELLA MUSICA CON LABORATORIO,9.25
[E3001Q033] ANALISI MATEMATICA I,9.25
[F8204B002] STATISTICA AVANZATA M,9.2
"[F5102P002] CONSULENZA, INTERVENTO, E SVILUPPO ORGANIZZATIVO",9.2
[E3201Q092] CHIMICA FISICA,9.2
[E3201Q069] BOTANICA,9.166666666666666
[E1803M046] ECONOMIA AZIENDALE,9.166666666666666
[E1401A076] ELEMENTI DI STORIA DEL DIRITTO MEDIEVALE E MODERNO,9.11111111111111
[A5810011] GIUSTIZIA AMMINISTRATIVA,9.090909090909092
[I0202D121] BASI DEL MOVIMENTO,9
[H4101D034] URGENZE ED EMERGENZE MEDICO CHIRURGICHE,9
[F8701N039] PIANIFICAZIONE E GESTIONE DEI PROGETTI,9
[F8501R009] PRATICHE FILOSOFICHE,9
[F7601M051] STATISTICA PER IL TURISMO: MODELLI E APPLICAZIONI,9
[F6302N006] ECONOMIA PUBBLICA E DEI SERVIZI,9
[E3501Q004] GEOMETRIA I,9
[E3101Q129] METODI ALGEBRICI PER L'INFORMATICA,9
[E2702Q092] CHIMICA INORGANICA I E LABORATORIO,9
[E2701Q002] MATEMATICA II,9
[E2401P040] LABORATORIO: METODI DI VALUTAZIONE DELL'INTELLIGENZA VERBALE E NON VERBALE IN ETÀ EVOLUTIVA,9
[E1901R095] TIROCINIO - ATTIVITA' PROPEDEUTICHE,9
