CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
F0901D,F0901D046,[LM] Corso di Laurea Magistrale,48,28,0.58,27
F1801Q,F1801Q134,[LM] Corso di Laurea Magistrale,106,62,0.58,29.21
F5104P,F5104P003,[LM] Corso di Laurea Magistrale,296,172,0.58,26.34
F5701R,F5701R009,[LM] Corso di Laurea Magistrale,179,104,0.58,26.83
I0101D,I0101D015,[L2] Corso di Laurea - L2,332,193,0.58,22.95
I0102D,I0102D001,[L2] Corso di Laurea - L2,50,29,0.58,25.76
I0202D,I0202D101,[L2] Corso di Laurea - L2,50,29,0.58,20.93
581,A5810093,[LM5] Laurea Magistrale Ciclo Unico 5 anni,51,30,0.59,28.6
E1301Q,E1301Q055,[L2] Corso di Laurea - L2,140,82,0.59,26.99
E1301Q,E1301Q067,[L2] Corso di Laurea - L2,100,59,0.59,26.39
E1401A,E1401A074,[L2] Corso di Laurea - L2,314,185,0.59,26.78
E1401A,E1401A087,[L2] Corso di Laurea - L2,97,57,0.59,28.05
E1803M,E1803M057,[L2] Corso di Laurea - L2,297,176,0.59,22.26
E2401P,E2401P013,[L2] Corso di Laurea - L2,488,288,0.59,27.11
E2701Q,E2701Q042,[L2] Corso di Laurea - L2,39,23,0.59,26.87
E3001Q,E3001Q067,[L2] Corso di Laurea - L2,68,40,0.59,25.8
F5401Q,F5401Q019,[LM] Corso di Laurea Magistrale,32,19,0.59,28.37
F7601M,F7601M054,[LM] Corso di Laurea Magistrale,34,20,0.59,26.1
581,A5810007,[LM5] Laurea Magistrale Ciclo Unico 5 anni,342,204,0.6,25.49
581,A5810082,[LM5] Laurea Magistrale Ciclo Unico 5 anni,86,52,0.6,27.48
E0201Q,E0201Q050,[L2] Corso di Laurea - L2,86,52,0.6,22.63
E0201Q,E0201Q075,[L2] Corso di Laurea - L2,43,26,0.6,27.81
E1401A,E1401A077,[L2] Corso di Laurea - L2,238,143,0.6,24.26
E1802M,E1802M034,[L2] Corso di Laurea - L2,292,174,0.6,24.74
E1802M,E1802M123,[L2] Corso di Laurea - L2,257,155,0.6,26.45
E1803M,E1803M081,[L2] Corso di Laurea - L2,239,144,0.6,24.08
E2001R,E2001R002,[L2] Corso di Laurea - L2,221,132,0.6,23.84
E2702Q,E2702Q001,[L2] Corso di Laurea - L2,108,65,0.6,24.74
E3001Q,E3001Q035,[L2] Corso di Laurea - L2,229,138,0.6,24.41
F5101P,F5101P139,[LM] Corso di Laurea Magistrale,194,116,0.6,27.9
F7701M,F7701M082,[LM] Corso di Laurea Magistrale,252,150,0.6,25.15
F9201P,F9201P100,[LM] Corso di Laurea Magistrale,63,38,0.6,27.34
G8501R,G8501R023,[LM5] Laurea Magistrale Ciclo Unico 5 anni,262,158,0.6,24.63
