ad,media
[E3002Q012] LABORATORIO TECNICHE FISICHE PER L?OPTOMETRIA,1.5
[E2702Q097] CHIMICA FISICA III E LABORATORIO,1.5
[E2401P109] PERCEZIONE E ATTENZIONE,1.5
[E2401P064] FILOSOFIA DELLA SCIENZA,1.5
[E2001R010] ORGANIZZAZIONE AZIENDALE,1.5
[E1901R101] GESTIONE DELLE RISORSE UMANE,1.5
[E1802M121] DIRITTO TRIBUTARIO,1.5
[E1401A030] DIRITTO COMUNITARIO DELLA CONCORRENZA E DEL MERCATO INTERNO,1.5
[E1401A020] DIRITTO TRIBUTARIO,1.5
[A5810215] PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA,1.5
[A5810116] COMPARATIVE CIVIL PROCEDURE,1.5
[A5810077] DIRITTO DELLE ASSICURAZIONI,1.5
[A5810064] DIRITTO PROCESSUALE CIVILE C.P.,1.5
[A5810051] DIRITTO DEL LAVORO C.P.,1.5
[A5810049] DIRITTO BANCARIO,1.5
[A5810037] STORIA DEL DIRITTO ROMANO,1.5
[A5810033] TEORIE DELL'INTERPRETAZIONE,1.5
[E1901R005] PSICOLOGIA DELL'EDUCAZIONE,1.4966887417218544
[I0101D016] MEDICINA CLINICA E DELLA DISABILITA',1.4901960784313726
[E1401A007] DIRITTO COMMERCIALE,1.4857142857142858
[E3101Q100] ANALISI MATEMATICA,1.4854368932038835
[E4102B006] CALCOLO DELLE PROBABILITÀ,1.4848484848484849
"[F5102P002] CONSULENZA, INTERVENTO, E SVILUPPO ORGANIZZATIVO",1.4838709677419355
[E4102B004] LABORATORIO DI INFORMATICA,1.4838709677419355
[E3001Q012] LABORATORIO DI INFORMATICA I,1.4827586206896552
[E4001N055] LA COMUNICAZIONE: PRODUZIONE E CONSUMO,1.4814814814814814
[E2401P118] PSICOLOGIA SOCIALE DEI GRUPPI,1.4814814814814814
[E2001R059] LINGUA GIAPPONESE II,1.4814814814814814
[I0101D901] FONDAMENTI DI SCIENZE INFERMIERISTICHE ED OSTETRICHE,1.4811320754716981
[F9201P200] COMUNICAZIONE DIGITALE,1.4782608695652173
[F5103P005] PSICOLOGIA DELLO SVILUPPO SOCIO-AFFETTIVO,1.4782608695652173
[E1301Q007] FISICA,1.4782608695652173
[E3201Q073] FISICA APPLICATA,1.4761904761904763
[E2701Q045] FISICA DEI MATERIALI CON LABORATORIO,1.4761904761904763
[E3001Q043] FISICA III,1.4736842105263157
[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA,1.4736842105263157
[I0101D006] METODOLOGIA CLINICA NELLE SCIENZE INFERMIERISTICHE,1.4678899082568808
[G8501R026] PROVA IDONEITA' DI LINGUA INGLESE DI LIVELLO B2,1.4671052631578947
[F7702M023] ULTERIORI CONOSCENZE LINGUISTICHE PER IL MARKETING - INGLESE,1.4666666666666666
